external_id,title,description,category,state,eligibility,benefits,benefit_type,status,ministry,max_benefit,application_deadline,website_url
seed-crop-insurance-himachal-pradesh,Crop Insurance Protection - Himachal Pradesh,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Himachal Pradesh and keeps the same frontend-ready structure expected by the app.",Insurance,Himachal Pradesh,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/himachal-pradesh
seed-crop-insurance-jharkhand,Crop Insurance Protection - Jharkhand,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Jharkhand and keeps the same frontend-ready structure expected by the app.",Insurance,Jharkhand,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/jharkhand
seed-crop-insurance-karnataka,Crop Insurance Protection - Karnataka,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Karnataka and keeps the same frontend-ready structure expected by the app.",Insurance,Karnataka,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/karnataka
seed-crop-insurance-kerala,Crop Insurance Protection - Kerala,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Kerala and keeps the same frontend-ready structure expected by the app.",Insurance,Kerala,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/kerala
seed-crop-insurance-madhya-pradesh,Crop Insurance Protection - Madhya Pradesh,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Madhya Pradesh and keeps the same frontend-ready structure expected by the app.",Insurance,Madhya Pradesh,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/madhya-pradesh
seed-crop-insurance-maharashtra,Crop Insurance Protection - Maharashtra,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Maharashtra and keeps the same frontend-ready structure expected by the app.",Insurance,Maharashtra,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/maharashtra
seed-crop-insurance-manipur,Crop Insurance Protection - Manipur,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Manipur and keeps the same frontend-ready structure expected by the app.",Insurance,Manipur,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/manipur
seed-crop-insurance-meghalaya,Crop Insurance Protection - Meghalaya,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Meghalaya and keeps the same frontend-ready structure expected by the app.",Insurance,Meghalaya,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/meghalaya
seed-crop-insurance-mizoram,Crop Insurance Protection - Mizoram,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Mizoram and keeps the same frontend-ready structure expected by the app.",Insurance,Mizoram,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/mizoram
seed-crop-insurance-nagaland,Crop Insurance Protection - Nagaland,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Nagaland and keeps the same frontend-ready structure expected by the app.",Insurance,Nagaland,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/nagaland
seed-crop-insurance-odisha,Crop Insurance Protection - Odisha,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Odisha and keeps the same frontend-ready structure expected by the app.",Insurance,Odisha,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/odisha
seed-crop-insurance-punjab,Crop Insurance Protection - Punjab,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Punjab and keeps the same frontend-ready structure expected by the app.",Insurance,Punjab,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/punjab
seed-crop-insurance-rajasthan,Crop Insurance Protection - Rajasthan,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Rajasthan and keeps the same frontend-ready structure expected by the app.",Insurance,Rajasthan,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/rajasthan
seed-crop-insurance-sikkim,Crop Insurance Protection - Sikkim,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Sikkim and keeps the same frontend-ready structure expected by the app.",Insurance,Sikkim,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/sikkim
seed-crop-insurance-tamil-nadu,Crop Insurance Protection - Tamil Nadu,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Tamil Nadu and keeps the same frontend-ready structure expected by the app.",Insurance,Tamil Nadu,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/tamil-nadu
seed-crop-insurance-telangana,Crop Insurance Protection - Telangana,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Telangana and keeps the same frontend-ready structure expected by the app.",Insurance,Telangana,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/telangana
seed-crop-insurance-tripura,Crop Insurance Protection - Tripura,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Tripura and keeps the same frontend-ready structure expected by the app.",Insurance,Tripura,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/tripura
seed-crop-insurance-uttar-pradesh,Crop Insurance Protection - Uttar Pradesh,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Uttar Pradesh and keeps the same frontend-ready structure expected by the app.",Insurance,Uttar Pradesh,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/uttar-pradesh
seed-crop-insurance-uttarakhand,Crop Insurance Protection - Uttarakhand,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Uttarakhand and keeps the same frontend-ready structure expected by the app.",Insurance,Uttarakhand,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/uttarakhand
seed-crop-insurance-west-bengal,Crop Insurance Protection - West Bengal,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in West Bengal and keeps the same frontend-ready structure expected by the app.",Insurance,West Bengal,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/west-bengal
seed-crop-insurance-central,Crop Insurance Protection - Central,"Risk cover for notified crops against prevented sowing, yield loss, localized calamities, and post-harvest losses. This record is tailored for applicants in Central and keeps the same frontend-ready structure expected by the app.",Insurance,Central,Farmers cultivating notified crops in notified areas and enrolled through banks or approved channels.,"{""Premium support"",""Weather risk cover"",""Crop loss compensation""}",Insurance,active,Ministry of Agriculture and Farmers Welfare,As per notified sum insured,Season-based enrollment,https://www.india.gov.in/crop-insurance-protection/central
seed-soil-health-andhra-pradesh,Soil Health Card Support - Andhra Pradesh,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Andhra Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Andhra Pradesh,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/andhra-pradesh
seed-soil-health-arunachal-pradesh,Soil Health Card Support - Arunachal Pradesh,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Arunachal Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Arunachal Pradesh,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/arunachal-pradesh
seed-soil-health-assam,Soil Health Card Support - Assam,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Assam and keeps the same frontend-ready structure expected by the app.",Agriculture,Assam,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/assam
seed-soil-health-bihar,Soil Health Card Support - Bihar,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Bihar and keeps the same frontend-ready structure expected by the app.",Agriculture,Bihar,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/bihar
seed-soil-health-chhattisgarh,Soil Health Card Support - Chhattisgarh,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Chhattisgarh and keeps the same frontend-ready structure expected by the app.",Agriculture,Chhattisgarh,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/chhattisgarh
seed-soil-health-goa,Soil Health Card Support - Goa,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Goa and keeps the same frontend-ready structure expected by the app.",Agriculture,Goa,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/goa
seed-soil-health-gujarat,Soil Health Card Support - Gujarat,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Gujarat and keeps the same frontend-ready structure expected by the app.",Agriculture,Gujarat,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/gujarat
seed-soil-health-haryana,Soil Health Card Support - Haryana,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Haryana and keeps the same frontend-ready structure expected by the app.",Agriculture,Haryana,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/haryana
seed-soil-health-himachal-pradesh,Soil Health Card Support - Himachal Pradesh,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Himachal Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Himachal Pradesh,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/himachal-pradesh
seed-soil-health-jharkhand,Soil Health Card Support - Jharkhand,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Jharkhand and keeps the same frontend-ready structure expected by the app.",Agriculture,Jharkhand,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/jharkhand
seed-soil-health-karnataka,Soil Health Card Support - Karnataka,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Karnataka and keeps the same frontend-ready structure expected by the app.",Agriculture,Karnataka,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/karnataka
seed-soil-health-kerala,Soil Health Card Support - Kerala,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Kerala and keeps the same frontend-ready structure expected by the app.",Agriculture,Kerala,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/kerala
seed-soil-health-madhya-pradesh,Soil Health Card Support - Madhya Pradesh,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Madhya Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Madhya Pradesh,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/madhya-pradesh
seed-soil-health-maharashtra,Soil Health Card Support - Maharashtra,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Maharashtra and keeps the same frontend-ready structure expected by the app.",Agriculture,Maharashtra,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/maharashtra
seed-soil-health-manipur,Soil Health Card Support - Manipur,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Manipur and keeps the same frontend-ready structure expected by the app.",Agriculture,Manipur,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/manipur
seed-soil-health-meghalaya,Soil Health Card Support - Meghalaya,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Meghalaya and keeps the same frontend-ready structure expected by the app.",Agriculture,Meghalaya,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/meghalaya
seed-soil-health-mizoram,Soil Health Card Support - Mizoram,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Mizoram and keeps the same frontend-ready structure expected by the app.",Agriculture,Mizoram,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/mizoram
seed-soil-health-nagaland,Soil Health Card Support - Nagaland,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Nagaland and keeps the same frontend-ready structure expected by the app.",Agriculture,Nagaland,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/nagaland
seed-soil-health-odisha,Soil Health Card Support - Odisha,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Odisha and keeps the same frontend-ready structure expected by the app.",Agriculture,Odisha,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/odisha
seed-soil-health-punjab,Soil Health Card Support - Punjab,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Punjab and keeps the same frontend-ready structure expected by the app.",Agriculture,Punjab,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/punjab
seed-soil-health-rajasthan,Soil Health Card Support - Rajasthan,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Rajasthan and keeps the same frontend-ready structure expected by the app.",Agriculture,Rajasthan,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/rajasthan
seed-soil-health-sikkim,Soil Health Card Support - Sikkim,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Sikkim and keeps the same frontend-ready structure expected by the app.",Agriculture,Sikkim,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/sikkim
seed-soil-health-tamil-nadu,Soil Health Card Support - Tamil Nadu,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Tamil Nadu and keeps the same frontend-ready structure expected by the app.",Agriculture,Tamil Nadu,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/tamil-nadu
seed-soil-health-telangana,Soil Health Card Support - Telangana,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Telangana and keeps the same frontend-ready structure expected by the app.",Agriculture,Telangana,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/telangana
seed-soil-health-tripura,Soil Health Card Support - Tripura,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Tripura and keeps the same frontend-ready structure expected by the app.",Agriculture,Tripura,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/tripura
seed-soil-health-uttar-pradesh,Soil Health Card Support - Uttar Pradesh,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Uttar Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Uttar Pradesh,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/uttar-pradesh
seed-soil-health-uttarakhand,Soil Health Card Support - Uttarakhand,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Uttarakhand and keeps the same frontend-ready structure expected by the app.",Agriculture,Uttarakhand,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/uttarakhand
seed-soil-health-west-bengal,Soil Health Card Support - West Bengal,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in West Bengal and keeps the same frontend-ready structure expected by the app.",Agriculture,West Bengal,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/west-bengal
seed-soil-health-central,Soil Health Card Support - Central,"Support for soil sample testing, nutrient advisory, balanced fertilization planning, and farm soil restoration practices. This record is tailored for applicants in Central and keeps the same frontend-ready structure expected by the app.",Agriculture,Central,"Farmers, village clusters, and field schools participating in approved soil testing or extension drives.","{""Soil testing support"",""Nutrient recommendation"",""Input optimization guidance""}",Subsidies,active,Department of Agriculture Cooperation and Farmers Welfare,As per district laboratory norms,Open or district notified,https://www.india.gov.in/soil-health-card-support/central
seed-fpo-promotion-andhra-pradesh,FPO Promotion and Infrastructure Support - Andhra Pradesh,"Equity grant, credit guarantee, and capacity-building assistance for Farmer Producer Organizations and producer collectives. This record is tailored for applicants in Andhra Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Andhra Pradesh,"Registered FPOs, producer companies, cooperatives, and federations meeting program norms.","{""Equity grant"",""Credit guarantee"",""Business planning support""}",Credit & Loan,active,Ministry of Agriculture and Farmers Welfare,Up to Rs. 15 lakh,Open with state nodal approval,https://www.india.gov.in/fpo-promotion-infrastructure-support/andhra-pradesh
seed-fpo-promotion-arunachal-pradesh,FPO Promotion and Infrastructure Support - Arunachal Pradesh,"Equity grant, credit guarantee, and capacity-building assistance for Farmer Producer Organizations and producer collectives. This record is tailored for applicants in Arunachal Pradesh and keeps the same frontend-ready structure expected by the app.",Agriculture,Arunachal Pradesh,"Registered FPOs, producer companies, cooperatives, and federations meeting program norms.","{""Equity grant"",""Credit guarantee"",""Business planning support""}",Credit & Loan,active,Ministry of Agriculture and Farmers Welfare,Up to Rs. 15 lakh,Open with state nodal approval,https://www.india.gov.in/fpo-promotion-infrastructure-support/arunachal-pradesh
seed-fpo-promotion-assam,FPO Promotion and Infrastructure Support - Assam,"Equity grant, credit guarantee, and capacity-building assistance for Farmer Producer Organizations and producer collectives. This record is tailored for applicants in Assam and keeps the same frontend-ready structure expected by the app.",Agriculture,Assam,"Registered FPOs, producer companies, cooperatives, and federations meeting program norms.","{""Equity grant"",""Credit guarantee"",""Business planning support""}",Credit & Loan,active,Ministry of Agriculture and Farmers Welfare,Up to Rs. 15 lakh,Open with state nodal approval,https://www.india.gov.in/fpo-promotion-infrastructure-support/assam
